tweet,class
"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf",1
And I wanna say something SOOOOOO bad to these two cunts on Twitter eh..,1
RT @monnetteee: If you like After Romeo chances are I think you're a faggot.,1
RT @KoolQueef: I color my entire arm black with a sharpie and fist my wife's asshole just so she knows what a nigger dick feels like.,1
"Hey. @BarackObama. Don't be like a stupid white bitch in some horror movie asks #America to hide from #ISIS behind some chainsaws. M,kay?",1
"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days.",1
"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now.",1
"RT @SnowThaProduct: i can do somethin good but im always gon be a ""wetback"" coo.. &#9996;",1
Need a bitch to drop it down for a niggah,1
@pombuenaa I'm surprised you could read it with slits for eyes,1
Ayy Carlton is a ghetto school now #SwitchedAtBirth,1
You a lame ass nigga still cuffin these hoes my bitch got a bitch with er,1
RT @Kidd_BravO615: Nigga wanna bitch about a party y'all know my address knock at my door,1
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1
Smh hate that hoe,1
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",1
"@_cblaze @Barbod6FCB @ODDBEAST Man bitch am not gonna do a damn thang, if u don't like what I got to say then unfollow me",1
@QUAN1T0 You retarded bruh lol,1
Fucking redneck queers and their game invites,1
"@AustinG1135 answer my snapchat faggot 
#butthurt",1
Lmao! You niggas regionally picky about hoes now. Just say anything on Twitter. Makes it's fun tho,1
RT @JaclynDeeter: Well maybe you're a whore you stupid ugly homeless bitch,1
RT @SeanPrice: This nigger tattoo show is horrible,1
RT @DessantiGina: @TonyJRodriguez @WolfVanHalen so tony I think yr a rude little cunt and too too young to even know what real rock and rol&#8230;,1
"Lol, so since I'm from the south I automatically sound like a fucking redneck. Hahahaha how about fuck you, stupid ass.",1
"People who go to church in Hollywood, CA are all white trash filth.",1
"Kip Tokuda, yellow guy working to niggerize the Seattle PD, died. Too bad there's another POS hiding in the wings to replace him.",1
"@drew4130 @mailgal2000
Y'all hire colored folk? Only work half da day and throw da mail in da sewer if we ain't done",1
"Playing to white guilt lasted one last time, whitey felt 'absolved', it ends today. It ends in the fields/suburbs of Pennsylvania.",1
So many hoes whipped you would have thought we were still in slavery,1
RT @uncledaddy69: @weakenednachos California's biggest retards. Don't forget about HOLY who just released an amazing EP.,1
Gay ass nigga &#128514;&#128514; bitch you thought you thought,1
@hand_tex @drapermark37 humans are evil man. Cutting tusks of these beautiful animals so chinks think the get a hard on.,1
Whoever had Mr. Ramlogan for UWI business law tho? Racist mudda cunt,1
"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",1
@Oskzilla fuck you fag!,1
"@CharleeRedz13 your gay stfu, dumb monkey",1
I missing something of my ofay friends. Day all scared by da recent happenings. Don't chu worry...ol Lamar say you like da colored folk,1
My neighbors be sick when i wake um up to all this nigger music ctfu,1
So many bitches in one sentence #fixitjesus,1
Only retards retweet fuckry,1
dumb ugly stupid bullshit ass bitch &#128074;&#128074;&#128074;,1
RT @HG_Shit: Mfs still in the same spot as 3yrs ago. Beefing with the same nighas. Sleeping with the same hoes. Eating from the same restau&#8230;,1
"People who enjoy shows like @SouthPark and @FamilyGuyonFOX are douche bags. Usually white trash, too.",1
Hate this dyke,1
@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz,1
RT @FunSizedYogi: @TheBlackVoice well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&#8230;,1
@xZimpx @Prophzilla This is Twitter. Not only are you a fag but you're also retarded.,1
@kincade00 shut up bitch for I spit on you,1
@asshole_king oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.,1
"The nations know who we are, but we rather be real niggers &amp; bad bitches. http://t.co/Ge6tNhxzAF",1
@_TurnDownDre @kushdaddycorr lmao you stupid nigger,1
RT @Chvntre: sometimes I wanna upper cut this bitch but I don't know if she's special ed or not,1
"I'm going to sell my iPhone and both my Macs, I don't support faggots.",1
@Qui_ThePharaoh @zApollo0803 @MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.,1
RT @Buckm00se: chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,1
#Iowa is full of white trash,1
"RT @NIGNORAMUS: Here's how your ""suggestion"" plays out @piersmorgan 

Racist: ha, those niggers stopped callin each other nigga 

The end",1
RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant,1
@_XoXoKelsey_ hell naw fuck them bitches serves them right,1
This girl is retarded,1
"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",1
"@Aryanliving Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet).",1
@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe,1
I be waking up on some new shit like fuck that bitch shit,1
@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,1
@JacobbBacker you don't know shit about me faggot bitch,1
RT @halfricannnnn: nigger,1
RT @Wayne__Da__Boss: I hate a bitch dat act like a nigga. &#128530;,1
"@_SoulSurvivor_ @zakbauer I dont have any problems with zak, but you seem like a faggot http://t.co/NbFAArxvRP",1
@kittty_jpg @SteeZeyFLOW @nosfiend215 at least im not black bitch your parents left you in the mcdonalds parking lot after you were born,1
@_C_Parris69_ your picture makes you look like a serious fag. #justsayin lol,1
RT @DivaMonRoe2uHoE: Niggas always wanna talk about how God is against gays.. What about that pussy you was eating last night? Ain't God ag&#8230;,1
@tiffantasticc your dad is genuine happy guy because his kids aren't niggers though &#128532; jimmy is my nigga 5eva,1
I hate when white trash try to act like they're my equal. It only makes it that much clearer how white trash they are.,1
The reason Shelby hates sandwiches is because he is a queer. @RonandFezSXM,1
